Category,Subcategory,Item Number,Item Description,Schedule Fee,,,,,,,,
Anaesthesia / Upper Leg (except Knee),Vascular/Microsurgery,CK270,all procedures involving the arteries of the upper leg (including bypass graft) unless otherwise specified,180.4,,,Anaesthesia / Upper Leg (except Knee)Vascular/Microsurgery,,,,,
Anaesthesia / Upper Leg (except Knee),Vascular/Microsurgery,CK272,femoral artery ligation,90.2,,,Anaesthesia / Upper Leg (except Knee)Vascular/Microsurgery,,,,,
Anaesthesia / Upper Leg (except Knee),Vascular/Microsurgery,CK274,"femoral artery embolectomy (for grafts involving intra-abdominal vessels, see Item CG880)",135.3,,,Anaesthesia / Upper Leg (except Knee)Vascular/Microsurgery,,,,,
Anaesthesia / Upper Leg (except Knee),Vascular/Microsurgery,CK275,microvascular free tissue flap surgery involving the upper leg,225.5,,,Anaesthesia / Upper Leg (except Knee)Vascular/Microsurgery,,,,,
Anaesthesia / Upper Leg (except Knee),Vascular/Microsurgery,CK280,microsurgical reimplantation of the upper leg,338.25,,,Anaesthesia / Upper Leg (except Knee)Vascular/Microsurgery,,,,,
Consultations / Emergency Attendances,,CA060,"PROFESSIONAL ATTENDANCE ON A PATIENT IN IMMINENT DANGER OF DEATH requiring continuous lifesaving emergency treatment by an anaesthetist, to the exclusion of all other patients.* MBS 160 - $243.85 MBS 161 - $406.35 MBS 162 - $568.65 MBS 163 - $731.50 MBS 164 - $812.75",252.4,,,Consultations / Emergency Attendances,,,,,
Consultations / Emergency Attendances,,CA060,"PROFESSIONAL ATTENDANCE ON A PATIENT IN IMMINENT DANGER OF DEATH requiring continuous lifesaving emergency treatment by an anaesthetist, to the exclusion of all other patients.* MBS 160 - $243.85 MBS 161 - $406.35 MBS 162 - $568.65 MBS 163 - $731.50 MBS 164 - $812.75",420.55,,,Consultations / Emergency Attendances,,,,,
Consultations / Emergency Attendances,,CA060,"PROFESSIONAL ATTENDANCE ON A PATIENT IN IMMINENT DANGER OF DEATH requiring continuous lifesaving emergency treatment by an anaesthetist, to the exclusion of all other patients.* MBS 160 - $243.85 MBS 161 - $406.35 MBS 162 - $568.65 MBS 163 - $731.50 MBS 164 - $812.75",588.55,,,Consultations / Emergency Attendances,,,,,
Consultations / Emergency Attendances,,CA060,"PROFESSIONAL ATTENDANCE ON A PATIENT IN IMMINENT DANGER OF DEATH requiring continuous lifesaving emergency treatment by an anaesthetist, to the exclusion of all other patients.* MBS 160 - $243.85 MBS 161 - $406.35 MBS 162 - $568.65 MBS 163 - $731.50 MBS 164 - $812.75",757.1,,,Consultations / Emergency Attendances,,,,,
Consultations / Emergency Attendances,,CA060,"PROFESSIONAL ATTENDANCE ON A PATIENT IN IMMINENT DANGER OF DEATH requiring continuous lifesaving emergency treatment by an anaesthetist, to the exclusion of all other patients.* MBS 160 - $243.85 MBS 161 - $406.35 MBS 162 - $568.65 MBS 163 - $731.50 MBS 164 - $812.75",841.2,,,Consultations / Emergency Attendances,,,,,
Consultations / Emergency Attendances,,CA051,"AFTER-HOURS, professional attendance where the patient’s condition requires immediate attendance in the after-hours period, being the period after 6 pm and before 8 am on any weekday, or at any time on a Saturday, a Sunday or a public holiday (no after-hours loading applies to this item)",#N/A,,,Consultations / Emergency Attendances,,,,,
Consultations / Emergency Attendances,,CA070,"CALL BACK from home, office or other distant location of an anaesthetist for the provision of emergency services. This Item is separate from and additional to any service provided by the anaesthetist, including consultations (no after-hours loading applies to this item)",#N/A,,,Consultations / Emergency Attendances,,,,,
Consultations / Emergency Attendances,,CA080,"ANAESTHESIA CONSULTANCY for patient retrievals, hospital inspections, expert opinions and medico-legal work, including review, preparation, attendance, travelling time, writing of reports etc... (no after-hours loading applies to this item). Note: any disbursements for medicolegal work eg. accommodation and travel charges, are separate from, and additional to, this item",#N/A,,,Consultations / Emergency Attendances,,,,,
Consultations / Emergency Attendances,,CA085,"PATIENT TRANSFER, excluding intra-hospital transfer, where continuous specialist attendance is required.",#N/A,,,Consultations / Emergency Attendances,,,,,
Consultations / Emergency Attendances,,CA086,"PATIENT TRANSFER, intra-hospital, where continuous specialist attendance is required.",#N/A,,,Consultations / Emergency Attendances,,,,,
Consultations / Other Consultations and Attendances (MBS),,CA045,POST ANAESTHESIA PATIENT CARE following a DAY PROCEDURE,#N/A,,,Consultations / Other Consultations and Attendances (MBS),,,,,
Consultations / Other Consultations and Attendances (MBS),,,"A consultation immediately prior to the institution of a major regional blockade in a patient in labour, where no previous anaesthesia consultation has occurred",98.95,,,Consultations / Other Consultations and Attendances (MBS),,,,,
Consultations / Other Consultations and Attendances (MBS),,,Where a pre-anaesthesia consultation covered by an item in the range 17615-17625 is performed in-rooms if a) the service is provided to a patient prior to an admitted patient episode of care involving anaesthesia; and b) the service is not provided to an admitted patient of a hospital; and c) the service is not provided on the day of admission to hospital for the subsequent episode of care involving anaesthesia services; and d) the service is of more than 15 minutes duration,45.7,,,Consultations / Other Consultations and Attendances (MBS),,,,,
Consultations / Pre-Anaesthesia Consultations and Attendances (MBS),,CA002,"ANAESTHETIST, PREANAESTHESIA CONSULTATION, professional attendance by a medical practitioner in the practice of ANAESTHESIA - a BRIEF consultation involving a targeted history and limited examination (including the cardiorespiratory system) and of not more than 15 minutes duration",49.75,,,Consultations / Pre-Anaesthesia Consultations and Attendances (MBS),,,,,
Consultations / Pre-Anaesthesia Consultations and Attendances (MBS),,CA004,"a consultation on a patient undergoing advanced surgery or who has complex medical problems, involving a selective history and an extensive examination of multiple systems, and the formulation of a written patient management plan documented in the patient notes - AND of more than 15 minutes but not more than 30 minutes duration",98.95,,,Consultations / Pre-Anaesthesia Consultations and Attendances (MBS),,,,,
Consultations / Pre-Anaesthesia Consultations and Attendances (MBS),,CA006,"a consultation on a patient undergoing advanced surgery or who has complex medical problems, involving a detailed history and comprehensive examination of multiple systems and the formulation of a written patient management plan documented in the patient notes - AND of more than 30 minutes but not more than 45 minutes duration",137.05,,,Consultations / Pre-Anaesthesia Consultations and Attendances (MBS),,,,,
Consultations / Pre-Anaesthesia Consultations and Attendances (MBS),,CA008,"A consultation on a patient undergoing advanced surgery or who has complex medical problems, involving an exhaustive history and comprehensive examination of multiple systems, the formulation of a written patient management plan following discussion with relevant healthcare professionals and/or the patient, involving medical planning of high complexity documented in the patient notes - AND of more than 45 minutes duration",174.5,,,Consultations / Pre-Anaesthesia Consultations and Attendances (MBS),,,,,
Consultations / Referred Attendances,,CA002,"ANAESTHETIST CONSULTATION, professional attendance by a specialist anaesthetist in the practice of ANAESTHESIA, where the patient is referred to him or her; - a BRIEF consultation involving a short history and limited examination - AND of not more than 15 minutes duration",49.75,,,Consultations / Referred Attendances,,,,,
Consultations / Referred Attendances,,CA004,a consultation involving a selective history and examination of multiple systems and the formulation of a written patient management plan - AND of more than 15 minutes but not more than 30 minutes duration,98.95,,,Consultations / Referred Attendances,,,,,
Consultations / Referred Attendances,,CA006,a consultation involving a detailed history and comprehensive examination of multiple systems and the formulation of a written patient management plan - AND of more than 30 minutes but not more than 45 minutes duration,137.05,,,Consultations / Referred Attendances,,,,,
Consultations / Referred Attendances,,CA008,"a consultation involving an exhaustive history and comprehensive examination of multiple systems and the formulation of a written patient management plan following discussion with relevant health care professionals and/or the patient, involving medical planning of high complexity - AND of more than 45 minutes duration",174.5,,,Consultations / Referred Attendances,,,,,
Consultations / Telehealth Attendances,,CA012,"Anaesthetist Consultation , professional attendance by VIDEO CONFERENCE, by an anaesthetist in the practice of anaesthesia. Attendance of 15 mins or less duration",#N/A,,,Consultations / Telehealth Attendances,,,,,
Consultations / Telehealth Attendances,,CA013,"Anaesthetist Consultation , professional attendance by VIDEO CONFERENCE, by an anaesthetist in the practice of anaesthesia. Attendance of more than 15 mins but not more than 30 minutes duration",#N/A,,,Consultations / Telehealth Attendances,,,,,
Consultations / Telehealth Attendances,,CA014,"Anaesthetist Consultation , professional attendance by VIDEO CONFERENCE, by an anaesthetist in the practice of anaesthesia. Attendance of more than 30 mins but not more than 45 minutes duration",#N/A,,,Consultations / Telehealth Attendances,,,,,
Consultations / Telehealth Attendances,,CA015,"Anaesthetist Consultation , professional attendance by VIDEO CONFERENCE, by an anaesthetist in the practice of anaesthesia. Attendance of 45 minutes or more.",#N/A,,,Consultations / Telehealth Attendances,,,,,
Consultations / Telehealth Attendances,,CA021,"Anaesthetist Consultation , professional attendance by telephone, by an anaesthetist in the practice of anaesthesia. Attendance of 15 mins or less duration",#N/A,,,Consultations / Telehealth Attendances,,,,,
Consultations / Telehealth Attendances,,CA022,"Anaesthetist Consultation , professional attendance by telephone, by an anaesthetist in the practice of anaesthesia. Attendance of more than 15 mins but not more than 30 minutes duration.",#N/A,,,Consultations / Telehealth Attendances,,,,,
Consultations / Telehealth Attendances,,CA023,"Anaesthetist Consultation , professional attendance by telephone, by an anaesthetist in the practice of anaesthesia. Attendance of more than 30 mins but not more than 45 minutes duration.",#N/A,,,Consultations / Telehealth Attendances,,,,,
Consultations / Telehealth Attendances,,CA024,"Anaesthetist Consultation , professional attendance by telephone, by an anaesthetist in the practice of anaesthesia. Attendance of more than 45 minutes duration.",#N/A,,,Consultations / Telehealth Attendances,,,,,
Consultations / Telehealth Attendances,,,"Telehealth attendance by a medical practitioner in the practice of anaesthesia for a consultation on a patient undergoing advanced surgery or who has complex medical problems, involving a selective history and the formulation of a written patient management plan documented in the patient notes, and lasting more than 15 minutes (other than a service associated with a service to which any of items 2801 to 3000 of the general medical services table apply).",98.95,,,Consultations / Telehealth Attendances,,,,,
ICU / Intensive Care,,BL600,"CENTRAL VEIN CATHETERISATION by percutaneous or open exposure, not being a service to which BH750 applies",129.5,,,ICU / Intensive Care,,,,,
ICU / Intensive Care,,BL610,"RIGHT HEART BALLOON CATHETER, insertion of, including pulmonary wedge pressure and cardiac output measurement",129.55,,,ICU / Intensive Care,,,,,
ICU / Intensive Care,,BL620,"INTRACRANIAL PRESSURE, monitoring of, by intraventricular or subdural catheter, subarachnoid bolt or similar, by a specialist or consultant physician, each day (no after-hours loading applies to this item)",85.8,,,ICU / Intensive Care,,,,,
ICU / Intensive Care,,BL622,"Peripheral cannulation, including under ultrasound guidance where clinically appropriate, for veno-arterial cardiopulmonary extracorporeal life support. No separate ultrasound item is payable with this item",1004.55,,,ICU / Intensive Care,,,,,
ICU / Intensive Care,,BL624,"Veno-arterial extracorporeal life support, management of – the first day",562.35,,,ICU / Intensive Care,,,,,
ICU / Intensive Care,,BL625,"Veno-arterial extracorporeal life support, management of – each day after the first",130.8,,,ICU / Intensive Care,,,,,
ICU / Intensive Care,,BL627,"Veno-venous pulmonary extracorporeal life support, management of – the first day",562.35,,,ICU / Intensive Care,,,,,
ICU / Intensive Care,,BL628,"Veno-venous pulmonary extracorporeal life support, management of – each day after the first",130.8,,,ICU / Intensive Care,,,,,
ICU / Intensive Care,,BL630,ARTERIAL PUNCTURE and collection of blood for diagnostic purposes,26.3,,,ICU / Intensive Care,,,,,
ICU / Intensive Care,,BL631,"Peripheral cannulation, including under ultrasound guidance where clinically appropriate, for veno-venous pulmonary extracorporeal life support. No separate ultrasound item is payable with this item",673.05,,,ICU / Intensive Care,,,,,
ICU / Intensive Care,,BL640,"INTRA-ARTERIAL CANNULATION, including under ultrasound guidance where clinically appropriate, for the purpose of intra-arterial pressure monitoring or arterial blood sampling (or both). No separate ultrasound item is payable with this item",106.55,,,ICU / Intensive Care,,,,,
ICU / Intensive Care,,BL660,"COUNTERPULSATION BY INTRA- AORTIC BALLOON, management – including associated consultations and monitoring of parameters by means of full haemodynamic assessment and management on several occasions on a day – each day",177.85,,,ICU / Intensive Care,,,,,
ICU / Intensive Care,,BL670,"VENTRICULAR ASSIST DEVICE, management of, for a patient admitted to an intensive care unit, including management of complications arising from implantation or management of the device – FIRST DAY",562.35,,,ICU / Intensive Care,,,,,
ICU / Intensive Care,,BL680,"VENTRICULAR ASSIST DEVICE, management of, for a patient admitted to an intensive care unit, including management of complications arising from implantation or management of the device – each day after the first day",130.8,,,ICU / Intensive Care,,,,,
ICU / Intensive Care,,BL690,"AIRWAY ACCESS, establishment of, and initiation of mechanical ventilation (other than in the context of an anaesthetic for surgery), outside an intensive care unit, for the purpose of subsequent ventilatory support in an intensive care unit",166.8,,,ICU / Intensive Care,,,,,
ICU / Intensive Care,,BM005,"MANAGEMENT of a patient in an intensive care unit by a specialist or consultant physician who is immediately available and exclusively rostered for intensive care, including initial and subsequent attendances, electrocardiographic monitoring, arterial sampling and bladder catheterisation—management on the first day",412.55,,,ICU / Intensive Care,,,,,
ICU / Intensive Care,,BM015,"MANAGEMENT of a patient in an intensive care unit by a specialist or consultant physician who is immediately available and exclusively rostered for intensive care, including all attendances, electrocardiographic monitoring, arterial sampling and bladder catheterisation—management on each day subsequent to the first (no after-hours loading applies to this item)",305.95,,,ICU / Intensive Care,,,,,
ICU / Intensive Care,,BM025,"CENTRAL VENOUS PRESSURE, pulmonary arterial pressure, systemic arterial pressure or cardiac intracavity pressure, continuous monitoring by indwelling catheter in an intensive care unit, by a specialist or consultant physician who is immediately available and exclusively rostered for intensive care—each day of monitoring for each pressure up to a maximum of four pressures (no after-hours loading applies to this item)",87.6,,,ICU / Intensive Care,,,,,
ICU / Intensive Care,,BM040,"AIRWAY ACCESS, establishment of, and initiation of mechanical ventilation, in an intensive care unit, not in association with any anaesthetic service, by a specialist or consultant physician, for the purpose of subsequent ventilatory support",166.8,,,ICU / Intensive Care,,,,,
ICU / Intensive Care,,BM045,"VENTILATORY SUPPORT, in an intensive care unit, by invasive means or by non-invasive means where the only alternative to non-invasive ventilatory support would be invasive ventilatory support, management by a specialist or consultant physician who is immediately available and exclusively rostered for intensive care—each day (no after-hours loading applies to this item)",131.3,,,ICU / Intensive Care,,,,,
ICU / Intensive Care,,BM055,"CONTINUOUS ARTERIO-VENOUS OR VENO-VENOUS HAEMOFILTRATION, in an intensive care unit, management by a specialist or consultant physician who is immediately available and exclusively rostered for intensive care—on the first day",175.05,,,ICU / Intensive Care,,,,,
ICU / Intensive Care,,BM065,"CONTINUOUS ARTERIO-VENOUS OR VENO-VENOUS HAEMOFILTRATION, in an intensive care unit, management by a specialist or consultant physician who is immediately available and exclusively rostered for intensive care—on each day subsequent to the first day (no after-hours loading applies to this item)",87.6,,,ICU / Intensive Care,,,,,
ICU / Intensive Care,,BM070,"PROFESSIONAL ATTENDANCE, OUTSIDE AN INTENSIVE CARE UNIT, for at least 60 minutes spent in preparation of goals of care, by a specialist in the specialty of intensive care who takes overall responsibility for the preparation of the goals of care for the patient*",305.15,,,ICU / Intensive Care,,,,,
Modifiers / Other Modifiers,,M3,Anaesthesia in the prone position ( not applicable to Item CG810),#N/A,,,Modifiers / Other Modifiers,,,,,
Modifiers / Other Modifiers,,M4,After-hours emergency (Emergency is defined as existing when undue delay in treatment of the patient would lead to significantly increased threat to life or body part),0,,,Modifiers / Other Modifiers,,,,,
Modifiers / Other Modifiers,,M4,After-hours emergency. 25030 also applies to assistance at after hours emergencies. (Emergency is defined as existing when undue delay in treatment of the patient would lead to significantly increased threat to life or body part),0,,,Modifiers / Other Modifiers,,,,,
Modifiers / Other Modifiers,,M4,After-hours emergency. 25050 also applies to assistance at after-hours emergency perfusion services. (Emergency is defined as existing when undue delay in treatment of the patient would lead to significantly increased threat to life or body part),0,,,Modifiers / Other Modifiers,,,,,
Modifiers / Other Modifiers,,M1,MB 25013 applies when less than 4 years of age. ASA M1 Applies from when a patient is ages less than 4 or 70 years or greater*,22.55,,,Modifiers / Other Modifiers,,,,,
Modifiers / Other Modifiers,,M1,MBS Item 25014 applied for a patient aged 75 years or greater. ASA M1 Applies from when a patient is ages less than 4 or 70 years or greater*,22.55,,,Modifiers / Other Modifiers,,,,,
Modifiers / Other Modifiers,,M2,Emergency surgery*,45.1,,,Modifiers / Other Modifiers,,,,,
Modifiers / Physical Status Modifiers,,P1,A normal healthy patient,#N/A,,,Modifiers / Physical Status Modifiers,,,,,
Modifiers / Physical Status Modifiers,,P2,A patient with mild systemic disease,#N/A,,,Modifiers / Physical Status Modifiers,,,,,
Modifiers / Physical Status Modifiers,,P6,A patient who is morbidly obese-body mass index (BMI) of more than 35,#N/A,,,Modifiers / Physical Status Modifiers,,,,,
Modifiers / Physical Status Modifiers,,P8,A patient declared brain-dead whose organs are being removed for donor purposes,#N/A,,,Modifiers / Physical Status Modifiers,,,,,
Modifiers / Physical Status Modifiers,,P3,A patient with severe systemic disease,22.55,,,Modifiers / Physical Status Modifiers,,,,,
Modifiers / Physical Status Modifiers,,P4,A patient with severe systemic disease that is a constant threat to life,45.1,,,Modifiers / Physical Status Modifiers,,,,,
Modifiers / Physical Status Modifiers,,P5,A moribund patient who is not expected to survive for 24 hours with or without the operation,67.65,,,Modifiers / Physical Status Modifiers,,,,,
Modifiers / Physical Status Modifiers,,P7,"A patient from 24 weeks gestation to 72 hours postpartum (does not apply to items CG850, CG855, CH946, CH960)",#N/A,,,Modifiers / Physical Status Modifiers,,,,,
Other / Anaesthesia Assistance,,CW020,Assistance in the administration of an anaesthetic,0,,,Other / Anaesthesia Assistance,,,,,
Other / Anaesthesia Assistance,,CW020,Assistance in the administration of an anaesthetic,0,,,Other / Anaesthesia Assistance,,,,,
Other / Anaesthesia Assistance,,CW020,Assistance in the administration of an anaesthetic,0,,,Other / Anaesthesia Assistance,,,,,
Other / Other Procedures,Spine,CS906,ANAESTHESIA for myelography: (lumbar or thoracic),112.75,,,Other / Other ProceduresSpine,,,,,
Other / Other Procedures,Spine,CS908,myelography (cervical),135.3,,,Other / Other ProceduresSpine,,,,,
Other / Other Procedures,Spine,CS910,myelography (posterior fossa),202.95,,,Other / Other ProceduresSpine,,,,,
Other / Other Procedures,Spine,CS912,discography (lumbar or thoracic),112.75,,,Other / Other ProceduresSpine,,,,,
Other / Other Procedures,Spine,CS914,discography (cervical),135.3,,,Other / Other ProceduresSpine,,,,,
Other / Other Procedures,Spine,CS945,"lumbar puncture, cisternal puncture, or epidural injection",112.75,,,Other / Other ProceduresSpine,,,,,
Other / Other Procedures,Vascular/Cardiology,CS915,ANAESTHESIA for peripheral arteriogram,112.75,,,Other / Other ProceduresVascular/Cardiology,,,,,
Other / Other Procedures,Vascular/Cardiology,CS916,"arteriogram (cerebral, carotid or vertebral)",112.75,,,Other / Other ProceduresVascular/Cardiology,,,,,
Other / Other Procedures,Vascular/Cardiology,CS918,"retrograde arteriogram, (brachial or femoral)",112.75,,,Other / Other ProceduresVascular/Cardiology,,,,,
Other / Other Procedures,Vascular/Cardiology,CS935,phlebography,112.75,,,Other / Other ProceduresVascular/Cardiology,,,,,
Other / Other Procedures,Vascular/Cardiology,CS936,"heart, two-dimensional real time transoesophageal examination",112.75,,,Other / Other ProceduresVascular/Cardiology,,,,,
Other / Other Procedures,Vascular/Cardiology,CS939,peripheral venous cannulation,67.65,,,Other / Other ProceduresVascular/Cardiology,,,,,
Other / Other Procedures,Vascular/Cardiology,CS941,"cardiac catheterisation (including coronary arteriography, ventriculography, cardiac mapping, insertion of automatic defibrillator or transvenous pacemaker)",157.85,,,Other / Other ProceduresVascular/Cardiology,,,,,
Other / Other Procedures,Vascular/Cardiology,CS942,cardiac electrophysiological procedures (including radiofrequency ablation),225.5,,,Other / Other ProceduresVascular/Cardiology,,,,,
Other / Other Procedures,Vascular/Cardiology,CS943,"central vein catheterisation or insertion of right heart balloon catheter (via jugular, subclavian or femoral vein) by percutaneous or open exposure",112.75,,,Other / Other ProceduresVascular/Cardiology,,,,,
Other / Other Procedures,Radiology,CS922,"ANAESTHESIA for computerised axial tomography scanning, magnetic resonance scanning, ultrasound scanning* or digital subtraction angiography scanning",135.3,,,Other / Other ProceduresRadiology,,,,,
Other / Other Procedures,Radiology,CS925,"retrograde cystography, retrograde urethrography or retrograde cystourethrography",90.2,,,Other / Other ProceduresRadiology,,,,,
Other / Other Procedures,Radiology,CS926,fluoroscopy,90.2,,,Other / Other ProceduresRadiology,,,,,
Other / Other Procedures,Radiology,CS930,bronchography,135.3,,,Other / Other ProceduresRadiology,,,,,
Other / Other Procedures,Neurology,CS955,ANAESTHESIA for electroencephalography,112.75,,,Other / Other ProceduresNeurology,,,,,
Other / Other Procedures,Neurology,CS959,brain stem evoked audiometry,112.75,,,Other / Other ProceduresNeurology,,,,,
Other / Other Procedures,Neurology,CS962,electrocochleography by extratympanic method or transtympanic membrane insertion method,112.75,,,Other / Other ProceduresNeurology,,,,,
Other / Other Procedures,Miscellaneous,CS900,ANAESTHESIA for injection procedure for hysterosalpingography,67.65,,,Other / Other ProceduresMiscellaneous,,,,,
Other / Other Procedures,Miscellaneous,CS949,harvesting of bone marrow for the purpose of transplantation,112.75,,,Other / Other ProceduresMiscellaneous,,,,,
Other / Other Procedures,Miscellaneous,CS952,muscle biopsy for malignant hyperpyrexia,90.2,,,Other / Other ProceduresMiscellaneous,,,,,
Other / Other Procedures,Miscellaneous,CS965,"ANAESTHESIA as a therapeutic procedure where it can be demonstrated that there is a clinical need for anaesthesia (The MBS states "" not for the treatment of headache of any etiology"")",112.75,,,Other / Other ProceduresMiscellaneous,,,,,
Other / Other Procedures,Miscellaneous,CS969,ANAESTHESIA during hyperbaric therapy where the medical practitioner is not confined in the chamber (including the administration of oxygen),180.4,,,Other / Other ProceduresMiscellaneous,,,,,
Other / Other Procedures,Miscellaneous,CS970,hyperbaric therapy where the medical practitioner is confined in the chamber (including the administration of oxygen),338.25,,,Other / Other ProceduresMiscellaneous,,,,,
Other / Other Procedures,Miscellaneous,CS973,brachytherapy using radioactive sealed sources,112.75,,,Other / Other ProceduresMiscellaneous,,,,,
Other / Other Procedures,Miscellaneous,CS976,therapeutic nuclear medicine,112.75,,,Other / Other ProceduresMiscellaneous,,,,,
Other / Other Procedures,Miscellaneous,CS980,radiotherapy,112.75,,,Other / Other ProceduresMiscellaneous,,,,,
Other / Other Procedures,Radiology,CS923,radiology unless otherwise specified,#N/A,,,Other / Other ProceduresRadiology,,,,,
Other / Therapeutic and Diagnostic Services,Echocardiography,CV730,"INTRAOPERATIVE TRANSOESOPHAGEAL ECHOCARDIOGRAPHY monitoring in real time of the structure and function of the heart chambers, valves and surrounding structures, including assessment of blood-flow, with appropriate permanent recording during procedures on the heart, pericardium or great vessels of the chest (not in association with 55130, 55135 or 21936) Not necessary in ASA RVG—covered by items CV730 and CV740",202.95,,,Other / Therapeutic and Diagnostic ServicesEchocardiography,,,,,
Other / Therapeutic and Diagnostic Services,Echocardiography,CV740,"INTRAOPERATIVE TWO-DIMENSIONAL REAL-TIME TRANSOESOPHAGEAL ECHOCARDIOGRAPHY incorporating Doppler techniques with colour flow mapping and recording onto video tape or digital medium, performed during cardiac valve surgery (repair or replacement) incorporating sequential assessment of cardiac function and valve competence before and after the surgical procedure (not associated with Item 55130). Can't be co-claimed with other RVG items. Not necessary in ASA RVG—covered by items CV730 and CV740.",396.5,,,Other / Therapeutic and Diagnostic ServicesEchocardiography,,,,,
Other / Therapeutic and Diagnostic Services,Echocardiography,CV730,"HEART, TWO-DIMENSIONAL REAL-TIME TRANSOESOPHAGEAL EXAMINATION of at least two oesophageal windows performed using a mechanical sector scanner or phased array transducer with: a) measurement of blood-flow velocities across the cardiac valves using pulsed wave and continuous Doppler techniques, b) real-time colour flow mapping from at least two oesophageal windows, and c) recording on video tape or digital medium",308.9,,,Other / Therapeutic and Diagnostic ServicesEchocardiography,,,,,
Other / Therapeutic and Diagnostic Services,Spinals/Epidurals/Caudals,CV120,"INTRATHECAL, COMBINED SPINAL-EPIDURAL or EPIDURAL INJECTION (initial or commencement of infusion) of a therapeutic substance, including up to one hour of continuous attendance by the medical practitioner, not in association with anaesthesia and surgery*",216.35,,,Other / Therapeutic and Diagnostic ServicesSpinals/Epidurals/Caudals,,,,,
Other / Therapeutic and Diagnostic Services,Spinals/Epidurals/Caudals,CV122,"INTRATHECAL, COMBINED SPINAL-EPIDURAL or EPIDURAL INJECTION (initial or commencement of infusion) of a therapeutic substance, where continuous attendance by the medical practitioner extends beyond the first hour* DERIVED FEE being 8 units for the first hour (as for Item CV120) plus 1 unit for each additional 15 minutes or part thereof",0,,,Other / Therapeutic and Diagnostic ServicesSpinals/Epidurals/Caudals,,,,,
Other / Therapeutic and Diagnostic Services,Spinals/Epidurals/Caudals,CV123,"INTRATHECAL, COMBINED SPINAL-EPIDURAL or EPIDURAL INJECTION (initial or commencement of infusion) of a therapeutic substance, including up to one hour of continuous attendance by the medical practitioner AFTER-HOURS*, for a patient in labour, not in association with anaesthesia and surgery**",324.45,,,Other / Therapeutic and Diagnostic ServicesSpinals/Epidurals/Caudals,,,,,
Other / Therapeutic and Diagnostic Services,Spinals/Epidurals/Caudals,CV124,"INTRATHECAL, COMBINED SPINAL-EPIDURAL or EPIDURAL INJECTION (initial or commencement of infusion) of a therapeutic substance where continuous AFTER-HOURS attendance by the medical practitioner extends beyond the first hour, for a patient in labour*. DERIVED FEE being 15 units for the first hour (as for Item CV123) plus 1 unit for each additional 15 minutes or part thereof",0,,,Other / Therapeutic and Diagnostic ServicesSpinals/Epidurals/Caudals,,,,,
Other / Therapeutic and Diagnostic Services,Spinals/Epidurals/Caudals,CV125,SUBSEQUENT INJECTION (or revision of infusion) of a therapeutic substance to maintain regional anaesthesia or analgesia where the period of continuous medical practitioner attendance is 15 minutes or less*,42.9,,,Other / Therapeutic and Diagnostic ServicesSpinals/Epidurals/Caudals,,,,,
Other / Therapeutic and Diagnostic Services,Spinals/Epidurals/Caudals,CV126,SUBSEQUENT INJECTION (or revision of infusion) of a therapeutic substance to maintain regional anaesthesia or analgesia where the period of continuous medical practitioner attendance is more than 15 minutes*,57,,,Other / Therapeutic and Diagnostic ServicesSpinals/Epidurals/Caudals,,,,,
Other / Therapeutic and Diagnostic Services,Spinals/Epidurals/Caudals,CV140,"INTRATHECAL, EPIDURAL or CAUDAL injection of a substance other than anaesthetic, contrast or neurolytic solutions, not being a service to which another item in this group applies",216.35,,,Other / Therapeutic and Diagnostic ServicesSpinals/Epidurals/Caudals,,,,,
Other / Therapeutic and Diagnostic Services,Spinals/Epidurals/Caudals,CV145,EPIDURAL INJECTION of blood for blood patch,216.35,,,Other / Therapeutic and Diagnostic ServicesSpinals/Epidurals/Caudals,,,,,
Other / Therapeutic and Diagnostic Services,Spinals/Epidurals/Caudals,CV155,Assistance at the administration of an epidural blood patch (a service to which item CV145/18233 applies) by another practitioner,67.6,,,Other / Therapeutic and Diagnostic ServicesSpinals/Epidurals/Caudals,,,,,
Other / Therapeutic and Diagnostic Services,Pain Management,CV085,"INTRATHECAL or EPIDURAL INJECTION (initial) of a therapeutic substance or substances, with or without insertion of a catheter, in association with anaesthesia and surgery, for postoperative pain management",112.75,,,Other / Therapeutic and Diagnostic ServicesPain Management,,,,,
Other / Therapeutic and Diagnostic Services,Pain Management,CV086,"INTRATHECAL or EPIDURAL INJECTION (subsequent) of a therapeutic substance or substances, using an in situ catheter, in association with anaesthesia and surgery, for postoperative pain relief (not to be used in conjunction with Item CV085)",67.65,,,Other / Therapeutic and Diagnostic ServicesPain Management,,,,,
Other / Therapeutic and Diagnostic Services,Pain Management,,Perioperative introduction of a plexus or nerve block proximal to the lower leg or forearm for post operative pain management Not necessary in ASA RVG – covered by CV082,45.1,,,Other / Therapeutic and Diagnostic ServicesPain Management,,,,,
Other / Therapeutic and Diagnostic Services,Neurolysis,CV130,"INTRATHECAL, EPIDURAL OR CAUDAL INJECTION of neurolytic substance",271.6,,,Other / Therapeutic and Diagnostic ServicesNeurolysis,,,,,
Other / Therapeutic and Diagnostic Services,Neurolysis,CV400,"TRIGEMINAL NERVE; supraorbital, infraorbital, mental or inferior alveolar branch, destruction by a neurolytic agent",270.65,,,Other / Therapeutic and Diagnostic ServicesNeurolysis,,,,,
